YEAR,STATE,EDU_LEVEL,EDU_LEVEL_COUNT
2012,District of Columbia,Associate degree in college - academic program,49
2012,District of Columbia,Associate degree in college - occupation/vocation program,28
2012,District of Columbia,Bachelor's degree,511
2012,District of Columbia,Children,451
2012,District of Columbia,Doctorate degree,74
2012,District of Columbia,High school graduate - high school diploma or equivalent,457
2012,District of Columbia,Less than 1st grade,12
2012,District of Columbia,Master's degree,364
2012,District of Columbia,Professional school degree,133
2012,District of Columbia,Some college but no degree,269
2012,Florida,10th grade,227
2012,Florida,11th grade,214
2012,Florida,12th grade no diploma,86
2012,Florida,"1st,2nd,3rd,or 4th grade",49
2012,Florida,5th or 6th grade,122
2012,Florida,7th and 8th grade,172
2012,Florida,9th grade,197
2012,Florida,Associate degree in college - academic program,474
2012,Florida,Associate degree in college - occupation/vocation program,237
2012,Florida,Bachelor's degree,1104
2012,Florida,Children,1606
2012,Florida,Doctorate degree,77
2012,Florida,High school graduate - high school diploma or equivalent,1871
2012,Florida,Less than 1st grade,13
2012,Florida,Master's degree,381
2012,Florida,Professional school degree,72
2012,Florida,Some college but no degree,1045
2012,Georgia,10th grade,138
2012,Georgia,11th grade,146
2012,Georgia,12th grade no diploma,66
2012,Georgia,"1st,2nd,3rd,or 4th grade",20
2012,Georgia,5th or 6th grade,34
2012,Georgia,7th and 8th grade,99
2012,Georgia,9th grade,122
2012,Georgia,Associate degree in college - academic program,133
2012,Georgia,Associate degree in college - occupation/vocation program,120
2012,Georgia,Bachelor's degree,617
2012,Georgia,Children,1080
2012,Georgia,Doctorate degree,28
2012,Georgia,High school graduate - high school diploma or equivalent,917
2012,Georgia,Less than 1st grade,11
2012,Georgia,Master's degree,190
2012,Georgia,Professional school degree,46
2012,Georgia,Some college but no degree,579
2012,Hawaii,10th grade,82
2012,Hawaii,11th grade,107
2012,Hawaii,12th grade no diploma,34
2012,Hawaii,"1st,2nd,3rd,or 4th grade",18
2012,Hawaii,5th or 6th grade,55
2012,Hawaii,7th and 8th grade,44
2012,Hawaii,9th grade,75
2012,Hawaii,Associate degree in college - academic program,155
2012,Hawaii,Associate degree in college - occupation/vocation program,106
2012,Hawaii,Bachelor's degree,506
2012,Hawaii,Children,686
2012,Hawaii,Doctorate degree,37
2012,Hawaii,High school graduate - high school diploma or equivalent,955
2012,Hawaii,Less than 1st grade,8
2012,Hawaii,Master's degree,172
2012,Hawaii,Professional school degree,46
2012,Hawaii,Some college but no degree,530
2012,Idaho,10th grade,61
2012,Idaho,11th grade,65
2012,Idaho,12th grade no diploma,24
2012,Idaho,"1st,2nd,3rd,or 4th grade",29
2012,Idaho,5th or 6th grade,29
2012,Idaho,7th and 8th grade,43
2012,Idaho,9th grade,70
2012,Idaho,Associate degree in college - academic program,79
2012,Idaho,Associate degree in college - occupation/vocation program,102
2012,Idaho,Bachelor's degree,253
2012,Idaho,Children,717
2012,Idaho,Doctorate degree,21
2012,Idaho,High school graduate - high school diploma or equivalent,442
2012,Idaho,Less than 1st grade,3
2012,Idaho,Master's degree,81
2012,Idaho,Professional school degree,18
2012,Idaho,Some college but no degree,361
2012,Illinois,10th grade,193
2012,Illinois,11th grade,195
2012,Illinois,12th grade no diploma,53
2012,Illinois,"1st,2nd,3rd,or 4th grade",48
2012,Illinois,5th or 6th grade,87
2012,Illinois,7th and 8th grade,153
2012,Illinois,9th grade,175
2012,Illinois,Associate degree in college - academic program,222
2012,Illinois,Associate degree in college - occupation/vocation program,150
2012,Illinois,Bachelor's degree,879
2012,Illinois,Children,1545
2012,Illinois,Doctorate degree,61
2012,Illinois,High school graduate - high school diploma or equivalent,1360
2012,Illinois,Less than 1st grade,12
2012,Illinois,Master's degree,380
2012,Illinois,Professional school degree,65
2012,Illinois,Some college but no degree,888
2012,Indiana,10th grade,101
2012,Indiana,11th grade,133
2012,Indiana,12th grade no diploma,34
2012,Indiana,"1st,2nd,3rd,or 4th grade",11
2012,Indiana,5th or 6th grade,18
2012,Indiana,7th and 8th grade,80
2012,Indiana,9th grade,64
2012,Indiana,Associate degree in college - academic program,106
2012,Indiana,Associate degree in college - occupation/vocation program,96
2012,Indiana,Bachelor's degree,303
2012,Indiana,Children,802
2012,Indiana,Doctorate degree,19
2012,Indiana,High school graduate - high school diploma or equivalent,695
